ID;Typ;Kategorie;Frage;Antworten;RichtigeAntwort;Erklaerung
1;MultipleChoice;Zahlensysteme;Wie viele verschiedene Werte kann ein Byte darstellen?;8|16|128|256;4;"Ein Byte hat 8 Bit; 2^8 ergibt 256 Bitmuster."
2;offeneFrage;Zahlensysteme;Wie viele Bits umfasst ein Nibble?;;4;Ein Nibble entspricht genau einer Hexadezimalziffer.
3;MultipleChoice;Zahlensysteme;Welche Dezimalzahl entspricht 10110110₂?;166|180|182|186;3;128 + 32 + 16 + 4 + 2 = 182.
4;MultipleChoice;Zahlensysteme;Welche Hexadezimalzahl entspricht 11010110₂?;C6|D6|D8|E6;2;1101 ist D und 0110 ist 6.
5;offeneFrage;Zahlensysteme;Welcher Dezimalzahl entspricht 0x2A?;;42;2 × 16 + 10 = 42.
6;MultipleChoice;Zahlensysteme;Welcher Dezimalzahl entspricht 0xFF als vorzeichenloser 8-Bit-Wert?;127|128|255|256;3;FF₁₆ = 15 × 16 + 15 = 255.
7;MultipleChoice;Zahlensysteme;Was bedeutet 1001 im 4-Bit-Zweierkomplement?;-7|-1|7|9;1;"Das fuehrende Bit hat hier den Wert -8; dazu kommt 1."
8;offeneFrage;Zahlensysteme;Wie lautet -7 im 4-Bit-Zweierkomplement?;;1001;0111 invertieren zu 1000 und 1 addieren.
9;MultipleChoice;Zahlensysteme;Welcher Wertebereich gilt fuer 4 Bit im Zweierkomplement?;-16 bis 15|-8 bis 7|0 bis 15|-7 bis 8;2;Fuer n Bit gilt -2^(n-1) bis 2^(n-1)-1.
10;MultipleChoice;Zahlensysteme;Welchen Dezimalwert hat 0,101₂?;0,5|0,625|0,75|1,25;2;1 × 1/2 + 0 × 1/4 + 1 × 1/8 = 0,625.
11;MultipleChoice;Zahlensysteme;Welche Dezimalzahl laesst sich als Binaerbruch endlich darstellen?;0,1|0,2|0,3|0,5;4;"0,5 = 1/2 = 0,1₂; 1/10 hat eine periodische Binaerdarstellung."
12;MultipleChoice;Zahlensysteme;Wie sind die 32 Bit einer IEEE-754-Single-Precision-Zahl aufgeteilt?;1 Vorzeichen, 8 Exponent, 23 Mantisse|1 Vorzeichen, 11 Exponent, 20 Mantisse|2 Vorzeichen, 8 Exponent, 22 Mantisse|8 Vorzeichen, 1 Exponent, 23 Mantisse;1;"Die gespeicherte Mantisse hat 23 Bits; die fuehrende 1 wird bei normalisierten Zahlen implizit angenommen."
13;offeneFrage;Zahlensysteme;Wie viele Bytes sind ein KiB?;;1024;Kibi steht fuer 2^10.
14;offeneFrage;Zahlensysteme;Wie lautet 1111₂ als Hexadezimalziffer?;;F;Vier Binaerbits entsprechen genau einer Hexadezimalziffer.
15;MultipleChoice;Netzwerk;Welches Netz passt zu einer Bluetooth-Verbindung zwischen Geraeten einer Person?;PAN|MAN|WAN|VLAN;1;PAN bedeutet Personal Area Network.
16;MultipleChoice;Netzwerk;Welcher Netztyp erstreckt sich typischerweise ueber grosse geografische Entfernungen?;PAN|LAN|WAN|VLAN;3;WAN bedeutet Wide Area Network.
17;MultipleChoice;Netzwerk;Was bedeutet Unicast?;Ein Sender an einen Empfaenger|Ein Sender an alle im lokalen Netz|Ein Sender an eine definierte Gruppe|Alle Sender an einen Empfaenger;1;Unicast adressiert genau einen Empfaenger.
18;MultipleChoice;Netzwerk;Welche Kommunikationsart adressiert eine bestimmte Empfaengergruppe?;Unicast|Broadcast|Multicast|Loopback;3;Multicast dient der Gruppenkommunikation.
19;MultipleChoice;Netzwerk;Welches Geraet trennt normalerweise Layer-2-Broadcastdomaenen?;Hub|Repeater|Router|Passives Kabel;3;Ein Router leitet gewoehnliche Ethernet-Broadcasts nicht zwischen IP-Netzen weiter.
20;MultipleChoice;Netzwerk;Wie leitet ein Layer-2-Switch gewoehnlich einen bekannten Ethernet-Frame weiter?;An alle Ports|An den passenden Port laut MAC-Tabelle|Nur an den Router|An alle VLANs;2;Der Switch lernt Quell-MAC-Adressen und nutzt seine MAC-Tabelle.
21;MultipleChoice;Netzwerk;Was kennzeichnet einen Hub im klassischen Halbduplex-Ethernet?;Jeder Port routet ein eigenes IP-Netz|Gemeinsame Kollisionsdomaene|Er verschluesselt alle Frames|Er ersetzt einen DHCP-Server;2;Ein Hub sendet Signale an alle Ports weiter.
22;MultipleChoice;Netzwerk;Welche Hauptaufgabe hat ein Access Point?;WLAN-Clients mit dem LAN verbinden|IP-Netze routen|Oeffentliche IP-Adressen vergeben|DNS-Namen registrieren;1;Ein Access Point stellt die WLAN-Anbindung an ein Layer-2-Netz bereit.
23;MultipleChoice;Netzwerk;Wann wird CSMA/CD benoetigt?;Im gemeinsam genutzten Halbduplex-Ethernet|Auf jeder geswitchten Vollduplex-Verbindung|Fuer DNS-Anfragen|Fuer IPv6-Routing;1;CSMA/CD erkennt Kollisionen auf einem gemeinsam genutzten Medium.
